2025-03-04 21:25:44,552 - Server - INFO - Sent global model to client ('127.0.0.1', 63712)
2025-03-04 21:25:44,748 - Server - INFO - Expecting 89124 bytes from client ('127.0.0.1', 63712)
2025-03-04 21:25:44,748 - Server - ERROR - Error handling client ('127.0.0.1', 63712): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:25:54,751 - Server - INFO - Client connected from ('127.0.0.1', 63718)
2025-03-04 21:25:54,753 - Server - INFO - Sent global model to client ('127.0.0.1', 63718)
2025-03-04 21:25:54,949 - Server - INFO - Expecting 89091 bytes from client ('127.0.0.1', 63718)
2025-03-04 21:25:54,949 - Server - ERROR - Error handling client ('127.0.0.1', 63718): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:26:04,951 - Server - INFO - Client connected from ('127.0.0.1', 63724)
2025-03-04 21:26:04,953 - Server - INFO - Sent global model to client ('127.0.0.1', 63724)
2025-03-04 21:26:05,147 - Server - INFO - Expecting 89115 bytes from client ('127.0.0.1', 63724)
2025-03-04 21:26:05,148 - Server - ERROR - Error handling client ('127.0.0.1', 63724): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:26:15,150 - Server - INFO - Client connected from ('127.0.0.1', 63735)
2025-03-04 21:26:15,153 - Server - INFO - Sent global model to client ('127.0.0.1', 63735)
2025-03-04 21:26:15,416 - Server - INFO - Expecting 89077 bytes from client ('127.0.0.1', 63735)
2025-03-04 21:26:15,416 - Server - ERROR - Error handling client ('127.0.0.1', 63735): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:26:25,419 - Server - INFO - Client connected from ('127.0.0.1', 63741)
2025-03-04 21:26:25,421 - Server - INFO - Sent global model to client ('127.0.0.1', 63741)
2025-03-04 21:26:25,642 - Server - INFO - Expecting 89071 bytes from client ('127.0.0.1', 63741)
2025-03-04 21:26:25,642 - Server - ERROR - Error handling client ('127.0.0.1', 63741): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:26:35,644 - Server - INFO - Client connected from ('127.0.0.1', 63746)
2025-03-04 21:26:35,646 - Server - INFO - Sent global model to client ('127.0.0.1', 63746)
2025-03-04 21:26:35,887 - Server - INFO - Expecting 89067 bytes from client ('127.0.0.1', 63746)
2025-03-04 21:26:35,888 - Server - ERROR - Error handling client ('127.0.0.1', 63746): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:26:45,890 - Server - INFO - Client connected from ('127.0.0.1', 63757)
2025-03-04 21:26:45,892 - Server - INFO - Sent global model to client ('127.0.0.1', 63757)
2025-03-04 21:26:46,097 - Server - INFO - Expecting 89105 bytes from client ('127.0.0.1', 63757)
2025-03-04 21:26:46,097 - Server - ERROR - Error handling client ('127.0.0.1', 63757): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:26:56,100 - Server - INFO - Client connected from ('127.0.0.1', 63767)
2025-03-04 21:26:56,102 - Server - INFO - Sent global model to client ('127.0.0.1', 63767)
2025-03-04 21:26:56,310 - Server - INFO - Expecting 89090 bytes from client ('127.0.0.1', 63767)
2025-03-04 21:26:56,311 - Server - ERROR - Error handling client ('127.0.0.1', 63767): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:27:06,314 - Server - INFO - Client connected from ('127.0.0.1', 63771)
2025-03-04 21:27:06,318 - Server - INFO - Sent global model to client ('127.0.0.1', 63771)
